#{"t_start": 1727809943.5609581, "env_id": "NetworkEnv-v0"}
r,l,t,distance,sum_rate
5778.43851,200,1537.108457,20.518284528683193,28.763813027516807
6107.718918,200,1543.106758,13.038404810405298,28.696506980513533
6267.811528,200,1551.147561,17.08800749063506,28.70561646159907
6454.626187,200,1557.366878,6.324555320336759,28.772222426073107
6020.093674,200,1565.640244,16.278820596099706,28.727207776539057
5755.069644,200,1579.298477,26.40075756488817,28.77534822100823
5919.307557,200,1584.443651,26.92582403567252,28.667217150028964
6177.172978,200,1593.908733,18.439088914585774,28.774356420475815
5886.82605,200,1600.477926,24.515301344262525,28.76414002664976
6033.239882,200,1608.475219,26.832815729997478,28.775269400896654
6453.636749,200,1614.229042,11.40175425099138,28.605809523526702
5829.688789,200,1620.176749,18.867962264113206,28.67245192294048
5747.113543,200,1626.167275,30.265491900843113,28.72413327666457
6018.427218,200,1630.646873,20.223748416156685,28.70374104283866
5865.709795,200,1638.52642,17.4928556845359,28.697463693877662
6307.6671,200,1651.142012,12.529964086141668,28.75208388817833
5856.120059,200,1657.601373,19.209372712298546,28.738342855910766
5910.334804,200,1664.753145,21.840329667841555,28.743000738941937
6617.879722,200,1671.076177,14.560219778561036,28.725893148419186
5741.727486,200,1678.597159,27.202941017470888,28.69731473121538
6151.155365,200,1683.990801,20.808652046684813,28.72487284274673
6158.633573,200,1689.868128,8.54400374531753,28.639642577151832
6297.062068,200,1699.20795,12.36931687685298,28.793887417803987
5822.215205,200,1706.682859,21.095023109728988,28.734047703552715
5735.706284,200,1714.724392,25.079872407968907,28.64445267930198
5763.891164,200,1728.236335,35.34119409414458,28.81945581936588
6297.348343,200,1734.075658,10.198039027185569,28.773626010580227
6285.153798,200,1741.614024,7.810249675906654,28.763256038130184
6076.351936,200,1747.855959,20.808652046684813,28.6994141058487
6141.558002,200,1756.993323,14.422205101855956,28.772160448320022
6384.084036,200,1762.932155,11.40175425099138,28.775928926613854
6100.073147,200,1772.291636,10.816653826391969,28.71161542932659
6377.927006,200,1783.962066,9.055385138137417,28.71734302743707
5726.481183,200,1793.102972,36.235341863986875,28.63240591434677
5850.578736,200,1804.561104,22.360679774997898,28.723627418006078
7148.161439,200,1825.398742,5.830951894845301,28.805800891203578
6275.054088,200,1836.513553,7.615773105863909,28.783539781839753
6187.764091,200,1848.771986,12.165525060596439,28.769839822125157
6352.573578,200,1860.817678,9.899494936611665,28.729452681571154
6478.793549,200,1870.04512,6.4031242374328485,28.788050688284365
6037.061501,200,1880.526001,16.278820596099706,28.72454619024891
5856.597817,200,1889.136791,24.186773244895647,28.776227419179925
5944.961659,200,1898.284052,23.769728648009426,28.699157636533045
6500.791938,200,1906.447274,6.324555320336759,28.823983140934157
5995.806553,200,1912.906775,19.6468827043885,28.805349983529425
6330.384042,200,1920.861625,14.142135623730951,28.826981613296216
6029.407718,200,1941.994048,33.421549934136806,28.791454465776088
6471.908227,200,1953.609411,17.029386365926403,28.761222183444143
6375.409278,200,1959.218197,22.20360331117452,28.773275385191283
5989.445265,200,1968.358772,16.401219466856727,28.76357517468644
6296.189003,200,1974.930877,8.48528137423857,28.764588050478245
6022.1061,200,1982.85075,20.12461179749811,28.772111126156396
6493.555248,200,1988.868301,5.385164807134504,28.756466405768663
6204.523802,200,1994.842299,10.770329614269007,28.792868002792833
6225.010005,200,2004.521325,14.7648230602334,28.694493224006866
6571.16438,200,2010.121855,6.082762530298219,28.780386388380812
6361.370518,200,2022.570931,5.0990195135927845,28.75231131914834
6435.183599,200,2030.222526,9.219544457292887,28.78968241032865
6791.940809,200,2036.780288,6.082762530298219,28.8346672326467
6316.040726,200,2042.710227,7.0710678118654755,28.676780860183385
5861.725529,200,2052.662849,16.401219466856727,28.726706609988902
6325.407297,200,2058.580695,7.0710678118654755,28.672140689318045
5760.42617,200,2068.005949,29.410882339705484,28.80213084857996
5753.491806,200,2076.434179,24.596747752497688,28.74438638598001
6358.85057,200,2085.456114,7.280109889280518,28.801534190738188
6029.132261,200,2092.16032,13.416407864998739,28.714349069953656
5980.219409,200,2105.712134,14.866068747318506,28.751467493561623
5967.083866,200,2113.510561,15.0,28.709185882191914
